Marca de Tiempo,Uso de Memoria (%)
00:06:04, 43.7
00:06:05, 43.8
00:06:06, 43.8
00:06:07, 43.7
00:06:08, 43.7
00:06:09, 43.6
00:06:10, 43.7
00:06:11, 43.6
00:06:12, 43.6
00:06:13, 43.6
00:06:14, 43.6
00:06:15, 43.7
00:06:16, 43.7
00:06:17, 43.7
00:06:18, 43.7
00:06:19, 43.9
00:06:20, 43.9
00:06:21, 43.9
00:06:22, 43.9
00:06:23, 43.8
00:06:24, 43.9
00:06:25, 43.6
00:06:26, 43.6
00:06:27, 43.6
00:06:28, 43.5
00:06:29, 43.6
00:06:30, 43.6
00:06:31, 43.5
00:06:32, 43.6
00:06:33, 43.5
00:06:34, 43.6
00:06:35, 43.5
00:06:36, 43.5
00:06:37, 43.5
00:06:38, 43.5
00:06:39, 43.5
00:06:40, 43.5
00:06:41, 43.5
00:06:42, 43.5
00:06:43, 43.5
00:06:44, 43.5
00:06:45, 43.5
00:06:46, 43.5
00:06:47, 43.5
00:06:48, 43.5
00:06:49, 43.5
00:06:50, 43.4
00:06:51, 43.4
00:06:52, 43.4
00:06:53, 43.4
00:06:54, 43.4
00:06:55, 43.4
00:06:56, 43.4
00:06:57, 43.4
00:06:58, 43.4
00:06:59, 43.4
00:07:00, 43.3
00:07:01, 43.3
00:07:02, 43.4
00:07:03, 43.4
00:07:04, 43.5
00:07:05, 43.5
00:07:06, 43.5
00:07:07, 43.4
00:07:08, 43.3
00:07:09, 43.4
00:07:10, 42.5
00:07:11, 42.5
00:07:12, 42.6
00:07:13, 42.6
00:07:14, 42.6
00:07:15, 42.7
00:07:16, 42.6
00:07:17, 42.6
00:07:18, 42.6
00:07:19, 42.5
00:07:20, 42.5
00:07:21, 42.4
00:07:22, 42.5
00:07:23, 42.4
00:07:24, 42.4
00:07:25, 42.4
00:07:26, 42.4
00:07:27, 42.4
00:07:28, 42.4
00:07:29, 42.4
00:07:30, 42.4
00:07:31, 42.4
00:07:32, 42.4
00:07:33, 42.4
00:07:34, 42.4
00:07:35, 42.5
00:07:36, 42.5
00:07:37, 42.5
00:07:38, 42.5
00:07:39, 42.4
00:07:40, 42.4
00:07:41, 42.4
00:07:42, 42.4
00:07:43, 42.4
00:07:44, 42.4
00:07:45, 42.4
00:07:46, 42.4
00:07:47, 42.4
00:07:49, 42.4
00:07:50, 42.4
00:07:51, 42.4
00:07:52, 42.4
00:07:53, 42.4
00:07:54, 42.4
00:07:55, 42.4
00:07:56, 42.4
00:07:57, 42.4
00:07:58, 42.4
00:07:59, 42.5
00:08:00, 42.4
00:08:01, 42.4
00:08:02, 42.4
00:08:03, 42.4
00:08:04, 42.4
00:08:05, 42.4
00:08:06, 42.4
00:08:07, 42.5
00:08:08, 42.5
00:08:09, 42.5
00:08:10, 42.5
00:08:11, 42.4
00:08:12, 42.4
00:08:13, 42.4
00:08:14, 42.4
00:08:15, 42.4
00:08:16, 42.5
00:08:17, 42.5
00:08:18, 42.4
00:08:19, 42.4
00:08:20, 42.4
00:08:21, 42.5
00:08:22, 42.5
00:08:23, 42.6
00:08:24, 42.6
00:08:25, 42.6
00:08:26, 42.6
00:08:27, 42.5
00:08:28, 42.5
00:08:29, 42.5
00:08:30, 42.5
00:08:31, 42.5
00:08:32, 42.5
00:08:33, 42.6
00:08:34, 42.6
00:08:35, 42.6
00:08:36, 42.6
00:08:37, 42.5
00:08:38, 42.5
00:08:39, 41.7
00:08:40, 41.7
00:08:41, 41.7
00:08:42, 41.6
00:08:43, 41.6
00:08:44, 41.6
00:08:45, 41.6
00:08:46, 41.6
00:08:47, 41.6
00:08:48, 41.6
00:08:49, 41.6
00:08:50, 41.6
00:08:51, 41.6
00:08:52, 41.6
00:08:53, 41.6
00:08:54, 41.6
00:08:55, 41.6
00:08:56, 41.6
00:08:57, 41.6
00:08:58, 41.6
00:08:59, 41.6
00:09:00, 41.6
00:09:01, 41.6
00:09:02, 41.6
00:09:03, 41.6
00:09:04, 41.7
00:09:05, 41.7
00:09:06, 41.7
00:09:07, 41.7
00:09:08, 41.6
00:09:09, 41.6
00:09:10, 41.6
00:09:11, 41.6
00:09:12, 41.6
00:09:13, 41.6
00:09:14, 41.6
00:09:15, 41.6
00:09:16, 41.6
00:09:17, 41.6
00:09:18, 41.6
00:09:19, 41.6
00:09:20, 41.6
00:09:21, 41.6
00:09:22, 41.6
00:09:23, 41.6
00:09:24, 41.6
00:09:25, 41.8
00:09:26, 41.8
00:09:27, 41.8
00:09:28, 41.8
00:09:29, 41.7
00:09:30, 41.7
00:09:31, 41.7
00:09:32, 41.7
00:09:33, 41.7
00:09:34, 41.7
00:09:35, 41.8
00:09:36, 41.8
00:09:37, 41.8
00:09:38, 41.8
00:09:39, 41.6
00:09:40, 41.6
00:09:41, 41.7
00:09:42, 41.7
00:09:43, 41.6
00:09:44, 41.6
00:09:45, 41.6
00:09:46, 41.6
00:09:47, 41.7
00:09:48, 41.6
00:09:49, 41.6
